row,iso,country,MMR,MMRyear,GDP,GDPyear,CPR,CPRyear,indicator,live_year,live_value,live_country,status,diff
30,CMR,Cameroon,258,2023,4875.25120768005,2023,19.3,2018.0,MMR,2023,258.0,Cameroon,MATCH,0.0
31,CAN,Canada,12,2023,58088.3778077995,2023,,,MMR,2023,12.0,Canada,MATCH,0.0
32,CAF,Central African Republic,692,2023,1132.67643369804,2023,17.8,2019.0,MMR,2023,692.0,Central African Republic,MATCH,0.0
33,TCD,Chad,748,2023,2433.53330962707,2023,8.1,2019.0,MMR,2023,748.0,Chad,MATCH,0.0
34,CHL,Chile,10,2023,29600.4188613168,2023,76.2635245751857,2016.0,MMR,2023,10.0,Chile,MATCH,0.0
35,CHN,China,16,2023,22687.2519534328,2023,84.5,2017.0,MMR,2023,16.0,China,MATCH,0.0
36,COL,Colombia,59,2023,18406.6242338491,2023,81.0,2015.0,MMR,2023,59.0,Colombia,MATCH,0.0
37,COM,Comoros,179,2023,3508.15862331545,2023,11.6,2022.0,MMR,2023,179.0,Comoros,MATCH,0.0
38,COD,"Congo, Dem. Rep.",427,2023,1559.33806475859,2023,28.1286863587728,2018.0,MMR,2023,427.0,"Congo, Dem. Rep.",MATCH,0.0
39,COG,"Congo, Rep.",241,2023,6172.28776650683,2023,30.11949285,2015.0,MMR,2023,241.0,"Congo, Rep.",MATCH,0.0
40,CRI,Costa Rica,24,2023,26378.5409941926,2023,70.9,2018.0,MMR,2023,24.0,Costa Rica,MATCH,0.0
41,CIV,Cote d'Ivoire,359,2023,6520.89886459765,2023,31.9711571456027,2022.0,MMR,2023,359.0,Cote d'Ivoire,MATCH,0.0
42,HRV,Croatia,3,2023,41320.257995772,2023,,,MMR,2023,3.0,Croatia,MATCH,0.0
43,CYP,Cyprus,14,2023,51674.90234375,2023,,,MMR,2023,14.0,Cyprus,MATCH,0.0
44,CZE,Czechia,3,2023,47558.4106763314,2023,,,MMR,2023,3.0,Czechia,MATCH,0.0
45,DNK,Denmark,4,2023,68993.9031100362,2023,,,MMR,2023,4.0,Denmark,MATCH,0.0
46,DJI,Djibouti,162,2023,6510.67859061619,2023,19.0,2012.0,MMR,2023,162.0,Djibouti,MATCH,0.0
47,DOM,Dominican Republic,124,2023,23282.4895071054,2023,62.7779892966591,2019.0,MMR,2023,124.0,Dominican Republic,MATCH,0.0
48,ECU,Ecuador,55,2023,14321.1648295611,2023,77.8500417459495,2018.0,MMR,2023,55.0,Ecuador,MATCH,0.0
49,EGY,"Egypt, Arab Rep.",17,2023,16691.3873991962,2023,58.5,2014.0,MMR,2023,17.0,"Egypt, Arab Rep.",MATCH,0.0
50,SLV,El Salvador,39,2023,11404.3342262685,2023,53.6,2021.0,MMR,2023,39.0,El Salvador,MATCH,0.0
51,GNQ,Equatorial Guinea,174,2023,15302.1517835147,2023,12.6,2011.0,MMR,2023,174.0,Equatorial Guinea,MATCH,0.0
52,EST,Estonia,5,2023,41284.7746875532,2023,75.0978731759999,2014.0,MMR,2023,5.0,Estonia,MATCH,0.0
53,SWZ,Eswatini,118,2023,10181.5040730397,2023,57.7,2022.0,MMR,2023,118.0,Eswatini,MATCH,0.0
54,ETH,Ethiopia,195,2023,2757.95923626099,2023,36.0705648652283,2021.0,MMR,2023,195.0,Ethiopia,MATCH,0.0
55,FJI,Fiji,30,2023,13194.8047570404,2023,35.4,2021.0,MMR,2023,30.0,Fiji,MATCH,0.0
56,FIN,Finland,8,2023,56051.7701129501,2023,85.4748603351955,2015.0,MMR,2023,8.0,Finland,MATCH,0.0
57,FRA,France,7,2023,54296.7230897731,2023,78.4,2010.0,MMR,2023,7.0,France,MATCH,0.0
58,GAB,Gabon,233,2023,18701.4227766323,2023,24.8,2021.0,MMR,2023,233.0,Gabon,MATCH,0.0
59,GMB,"Gambia, The",354,2023,2963.59873467436,2023,18.9,2020.0,MMR,2023,354.0,"Gambia, The",MATCH,0.0
60,GEO,Georgia,20,2023,22590.5293649146,2023,39.25737653,2018.0,MMR,2023,20.0,Georgia,MATCH,0.0
61,DEU,Germany,4,2023,63140.1949099669,2023,80.3,2011.0,MMR,2023,4.0,Germany,MATCH,0.0
62,GHA,Ghana,234,2023,6808.53775003964,2023,36.3,2022.0,MMR,2023,234.0,Ghana,MATCH,0.0
63,GRC,Greece,5,2023,36700.5134631055,2023,,,MMR,2023,5.0,Greece,MATCH,0.0
64,GTM,Guatemala,94,2023,12380.3715121996,2023,60.6,2015.0,MMR,2023,94.0,Guatemala,MATCH,0.0
65,GIN,Guinea,494,2023,3904.82395527998,2023,10.9,2018.0,MMR,2023,494.0,Guinea,MATCH,0.0
66,GNB,Guinea-Bissau,505,2023,2660.81444655656,2023,21.201503046269,2019.0,MMR,2023,505.0,Guinea-Bissau,MATCH,0.0
67,GUY,Guyana,75,2023,49312.3603225444,2023,29.8771395174816,2020.0,MMR,2023,75.0,Guyana,MATCH,0.0
68,HTI,Haiti,328,2023,2939.1237948199,2023,34.3,2017.0,MMR,2023,328.0,Haiti,MATCH,0.0
69,HND,Honduras,47,2023,6467.8800352783,2023,69.3736806153714,2019.0,MMR,2023,47.0,Honduras,MATCH,0.0
70,HUN,Hungary,12,2023,40333.2546888118,2023,,,MMR,2023,12.0,Hungary,MATCH,0.0
71,ISL,Iceland,3,2023,69268.1221404224,2023,,,MMR,2023,3.0,Iceland,MATCH,0.0
72,IND,India,80,2023,8870.55027609345,2023,66.7,2021.0,MMR,2023,80.0,India,MATCH,0.0
73,IDN,Indonesia,140,2023,13889.9495012858,2023,52.6,2023.0,MMR,2023,140.0,Indonesia,MATCH,0.0
74,IRN,"Iran, Islamic Rep.",16,2023,17044.8173442641,2023,77.4,2010.0,MMR,2023,16.0,"Iran, Islamic Rep.",MATCH,0.0
75,IRQ,Iraq,66,2023,13202.3228073856,2023,52.78881501,2018.0,MMR,2023,66.0,Iraq,MATCH,0.0
76,IRL,Ireland,4,2023,117659.728593716,2023,73.2626619552415,2010.0,MMR,2023,4.0,Ireland,MATCH,0.0
77,ISR,Israel,2,2023,47671.2476926086,2023,,,MMR,2023,2.0,Israel,MATCH,0.0
78,ITA,Italy,6,2023,52842.6288831758,2023,65.1,2013.0,MMR,2023,6.0,Italy,MATCH,0.0
79,JAM,Jamaica,130,2023,11398.8120394641,2023,60.6,2022.0,MMR,2023,130.0,Jamaica,MATCH,0.0
80,JPN,Japan,3,2023,47387.2172542523,2023,58.3383869011522,2021.0,MMR,2023,3.0,Japan,MATCH,0.0
81,JOR,Jordan,31,2023,10308.7821986337,2023,60.1,2023.0,MMR,2023,31.0,Jordan,MATCH,0.0
82,KAZ,Kazakhstan,10,2023,34703.2349286604,2023,52.98,2018.0,MMR,2023,10.0,Kazakhstan,MATCH,0.0
83,KEN,Kenya,149,2023,5691.82513474417,2023,62.5,2022.0,MMR,2023,149.0,Kenya,MATCH,0.0
84,KOR,"Korea, Rep.",4,2023,54029.3434990785,2023,84.22,2021.0,MMR,2023,4.0,"Korea, Rep.",MATCH,0.0
85,KWT,Kuwait,8,2023,47790.1933239144,2023,,,MMR,2023,8.0,Kuwait,MATCH,0.0
86,KGZ,Kyrgyz Republic,42,2023,6575.77541290499,2023,39.3763412,2018.0,MMR,2023,42.0,Kyrgyz Republic,MATCH,0.0
87,LAO,Lao PDR,112,2023,8372.15591874407,2023,56.2757987,2017.0,MMR,2023,112.0,Lao PDR,MATCH,0.0
88,LVA,Latvia,19,2023,37277.7217221317,2023,,,MMR,2023,19.0,Latvia,MATCH,0.0
89,LBN,Lebanon,15,2023,11330.2687387422,2023,,,MMR,2023,15.0,Lebanon,MATCH,0.0
90,LSO,Lesotho,478,2023,2592.4570129526,2023,64.9305733,2018.0,MMR,2023,478.0,Lesotho,MATCH,0.0
91,LBR,Liberia,628,2023,1616.92373356695,2023,24.9,2020.0,MMR,2023,628.0,Liberia,MATCH,0.0
92,LBY,Libya,59,2023,12476.5974944083,2023,27.7,2014.0,MMR,2023,59.0,Libya,MATCH,0.0
93,LTU,Lithuania,8,2023,46333.9006965206,2023,,,MMR,2023,8.0,Lithuania,MATCH,0.0
94,LUX,Luxembourg,11,2023,130048.922273147,2023,,,MMR,2023,11.0,Luxembourg,MATCH,0.0
95,MDG,Madagascar,445,2023,1629.6055225489,2023,49.7,2021.0,MMR,2023,445.0,Madagascar,MATCH,0.0
96,MWI,Malawi,225,2023,1649.29873234551,2023,65.6131232873079,2020.0,MMR,2023,225.0,Malawi,MATCH,0.0
97,MYS,Malaysia,26,2023,32857.6676600774,2023,42.8,2022.0,MMR,2023,26.0,Malaysia,MATCH,0.0
98,MDV,Maldives,32,2023,22333.0477138175,2023,18.8,2017.0,MMR,2023,32.0,Maldives,MATCH,0.0
99,MLI,Mali,367,2023,2861.48058063314,2023,17.2,2018.0,MMR,2023,367.0,Mali,MATCH,0.0
100,MLT,Malta,8,2023,60459.7655182644,2023,,,MMR,2023,8.0,Malta,MATCH,0.0
101,MRT,Mauritania,381,2023,6276.47521075653,2023,14.3,2021.0,MMR,2023,381.0,Mauritania,MATCH,0.0
102,MUS,Mauritius,66,2023,26471.0351422892,2023,63.8,2014.0,MMR,2023,66.0,Mauritius,MATCH,0.0
103,MEX,Mexico,42,2023,21864.9236104145,2023,71.8482508570646,2023.0,MMR,2023,42.0,Mexico,MATCH,0.0
104,MDA,Moldova,19,2023,15980.5668889856,2023,56.0,2020.0,MMR,2023,19.0,Moldova,MATCH,0.0
105,MNG,Mongolia,41,2023,16222.8638898529,2023,48.1348813,2018.0,MMR,2023,41.0,Mongolia,MATCH,0.0
106,MNE,Montenegro,6,2023,27243.404228981,2023,20.7,2018.0,MMR,2023,6.0,Montenegro,MATCH,0.0
107,MAR,Morocco,70,2023,8915.3515625,2023,70.8,2018.0,MMR,2023,70.0,Morocco,MATCH,0.0
108,MOZ,Mozambique,99,2023,1512.66729609671,2023,26.4,2023.0,MMR,2023,99.0,Mozambique,MATCH,0.0
109,MMR,Myanmar,185,2023,5364.13797034429,2023,52.2,2016.0,MMR,2023,185.0,Myanmar,MATCH,0.0
110,NAM,Namibia,139,2023,10126.2359555611,2023,56.1,2013.0,MMR,2023,139.0,Namibia,MATCH,0.0
111,NPL,Nepal,142,2023,4861.230303797,2023,57.2,2022.0,MMR,2023,142.0,Nepal,MATCH,0.0
112,NLD,Netherlands,4,2023,70198.9546022361,2023,73.0,2013.0,MMR,2023,4.0,Netherlands,MATCH,0.0
113,NZL,New Zealand,7,2023,49592.5875512098,2023,,,MMR,2023,7.0,New Zealand,MATCH,0.0
114,NIC,Nicaragua,60,2023,7496.53056557505,2023,80.4,2012.0,MMR,2023,60.0,Nicaragua,MATCH,0.0
115,NER,Niger,350,2023,1712.97031726521,2023,15.2564802562511,2023.0,MMR,2023,350.0,Niger,MATCH,0.0
116,NGA,Nigeria,993,2023,7843.00399007675,2023,21.6,2021.0,MMR,2023,993.0,Nigeria,MATCH,0.0
117,MKD,North Macedonia,3,2023,23455.2221318176,2023,59.8676426711758,2019.0,MMR,2023,3.0,North Macedonia,MATCH,0.0
118,NOR,Norway,1,2023,94364.9641754336,2023,,,MMR,2023,1.0,Norway,MATCH,0.0
119,OMN,Oman,13,2023,37793.6163957515,2023,29.7,2014.0,MMR,2023,13.0,Oman,MATCH,0.0
120,PAK,Pakistan,155,2023,5418.7693189297,2023,34.0,2019.0,MMR,2023,155.0,Pakistan,MATCH,0.0
121,PAN,Panama,37,2023,35872.9719200069,2023,50.8,2015.0,MMR,2023,37.0,Panama,MATCH,0.0
122,PNG,Papua New Guinea,189,2023,4206.37834691367,2023,36.7,2018.0,MMR,2023,189.0,Papua New Guinea,MATCH,0.0
123,PRY,Paraguay,58,2023,15831.5849831308,2023,68.35988695,2016.0,MMR,2023,58.0,Paraguay,MATCH,0.0
124,PER,Peru,51,2023,15342.2741359642,2023,77.3,2023.0,MMR,2023,51.0,Peru,MATCH,0.0
125,PHL,Philippines,84,2023,9898.53294588106,2023,58.3,2022.0,MMR,2023,84.0,Philippines,MATCH,0.0
126,POL,Poland,2,2023,43672.7668014946,2023,63.2,2014.0,MMR,2023,2.0,Poland,MATCH,0.0
127,PRT,Portugal,15,2023,41768.2583096874,2023,73.8869860463731,2014.0,MMR,2023,15.0,Portugal,MATCH,0.0
128,QAT,Qatar,4,2023,116159.142564088,2023,37.52185226,2012.0,MMR,2023,4.0,Qatar,MATCH,0.0
129,ROU,Romania,12,2023,40116.6891416904,2023,,,MMR,2023,12.0,Romania,MATCH,0.0
130,RUS,Russian Federation,9,2023,39881.44921875,2023,68.0,2011.0,MMR,2023,9.0,Russian Federation,MATCH,0.0
131,RWA,Rwanda,229,2023,3168.03075281515,2023,64.1,2020.0,MMR,2023,229.0,Rwanda,MATCH,0.0
132,STP,Sao Tome and Principe,75,2023,5541.3016760535,2023,49.6820543663491,2019.0,MMR,2023,75.0,Sao Tome and Principe,MATCH,0.0
133,SAU,Saudi Arabia,7,2023,64481.8441927288,2023,39.9921873361432,2023.0,MMR,2023,7.0,Saudi Arabia,MATCH,0.0
134,SEN,Senegal,237,2023,4304.76148721773,2023,26.5,2023.0,MMR,2023,237.0,Senegal,MATCH,0.0
135,SRB,Serbia,11,2023,25735.1334774195,2023,62.2958961009131,2019.0,MMR,2023,11.0,Serbia,MATCH,0.0
136,SYC,Seychelles,42,2023,28713.6672353088,2023,,,MMR,2023,42.0,Seychelles,MATCH,0.0
137,SLE,Sierra Leone,354,2023,3034.94608192505,2023,21.2,2019.0,MMR,2023,354.0,Sierra Leone,MATCH,0.0
138,SGP,Singapore,6,2023,130296.843789261,2023,,,MMR,2023,6.0,Singapore,MATCH,0.0
139,SVK,Slovak Republic,4,2023,39501.9474231962,2023,,,MMR,2023,4.0,Slovak Republic,MATCH,0.0
140,SVN,Slovenia,3,2023,47986.4195855821,2023,,,MMR,2023,3.0,Slovenia,MATCH,0.0
141,SLB,Solomon Islands,123,2023,2339.87469992347,2023,29.3,2015.0,MMR,2023,123.0,Solomon Islands,MATCH,0.0
142,SOM,"Somalia, Fed. Rep.",563,2023,1401.64735228455,2023,6.9,2019.0,MMR,2023,563.0,"Somalia, Fed. Rep.",MATCH,0.0
143,ZAF,South Africa,118,2023,13695.3755694076,2023,54.6,2016.0,MMR,2023,118.0,South Africa,MATCH,0.0
144,ESP,Spain,3,2023,47322.5937004504,2023,62.0757,2018.0,MMR,2023,3.0,Spain,MATCH,0.0
145,LKA,Sri Lanka,18,2023,13065.0698305722,2023,64.6,2016.0,MMR,2023,18.0,Sri Lanka,MATCH,0.0
146,SDN,Sudan,256,2023,2181.0791015625,2023,12.77805417,2014.0,MMR,2023,256.0,Sudan,MATCH,0.0
147,SUR,Suriname,84,2023,19020.8663751009,2023,39.12159292,2018.0,MMR,2023,84.0,Suriname,MATCH,0.0
148,SWE,Sweden,4,2023,62122.5116950792,2023,,,MMR,2023,4.0,Sweden,MATCH,0.0
149,CHE,Switzerland,5,2023,85383.3564504008,2023,71.6,2017.0,MMR,2023,5.0,Switzerland,MATCH,0.0
150,SYR,Syrian Arab Republic,20,2023,4579.43973633341,2022,,,MMR,2023,20.0,Syrian Arab Republic,MATCH,0.0
151,TJK,Tajikistan,14,2023,4472.3241378777,2023,29.3,2017.0,MMR,2023,14.0,Tajikistan,MATCH,0.0
152,TZA,Tanzania,276,2023,3620.79345703125,2023,37.6,2022.0,MMR,2023,276.0,Tanzania,MATCH,0.0
153,THA,Thailand,34,2023,21245.2706771879,2023,72.8,2022.0,MMR,2023,34.0,Thailand,MATCH,0.0
154,TLS,Timor-Leste,192,2023,4331.07792560386,2023,26.0,2016.0,MMR,2023,192.0,Timor-Leste,MATCH,0.0
155,TGO,Togo,349,2023,3215.82300022488,2023,23.8,2017.0,MMR,2023,349.0,Togo,MATCH,0.0
156,TTO,Trinidad and Tobago,54,2023,31196.603554718,2023,36.5,2022.0,MMR,2023,54.0,Trinidad and Tobago,MATCH,0.0
157,TUN,Tunisia,36,2023,12650.9615158166,2023,54.0,2023.0,MMR,2023,36.0,Tunisia,MATCH,0.0
158,TUR,Turkiye,15,2023,35069.1701714685,2023,69.8,2018.0,MMR,2023,15.0,Turkiye,MATCH,0.0
159,TKM,Turkmenistan,5,2023,17685.8585929282,2023,49.6763641281299,2019.0,MMR,2023,5.0,Turkmenistan,MATCH,0.0
160,UGA,Uganda,170,2023,2791.05576885861,2023,43.0,2022.0,MMR,2023,170.0,Uganda,MATCH,0.0
161,UKR,Ukraine,15,2023,15916.9580078125,2023,65.4588684,2012.0,MMR,2023,15.0,Ukraine,MATCH,0.0
162,ARE,United Arab Emirates,3,2023,70239.8328337228,2023,,,MMR,2023,3.0,United Arab Emirates,MATCH,0.0
163,GBR,United Kingdom,8,2023,53423.4226338292,2023,76.1,2012.0,MMR,2023,8.0,United Kingdom,MATCH,0.0
164,USA,United States,17,2023,74351.6718197429,2023,73.9,2019.0,MMR,2023,17.0,United States,MATCH,0.0
165,URY,Uruguay,15,2023,31100.9696889882,2023,,,MMR,2023,15.0,Uruguay,MATCH,0.0
166,UZB,Uzbekistan,26,2023,10514.0955721447,2023,58.8,2022.0,MMR,2023,26.0,Uzbekistan,MATCH,0.0
167,VUT,Vanuatu,100,2023,3782.82649029418,2023,49.0,2013.0,MMR,2023,100.0,Vanuatu,MATCH,0.0
168,VNM,Viet Nam,48,2023,13534.7997843016,2023,72.8,2021.0,MMR,2023,48.0,Viet Nam,MATCH,0.0
169,PSE,West Bank and Gaza,16,2023,5562.42442563953,2023,57.3,2020.0,MMR,2023,16.0,West Bank and Gaza,MATCH,0.0
170,ZMB,Zambia,85,2023,3673.4841969922,2023,49.6,2018.0,MMR,2023,85.0,Zambia,MATCH,0.0
171,ZWE,Zimbabwe,358,2023,5218.04526596398,2023,66.8,2015.0,MMR,2023,358.0,Zimbabwe,MATCH,0.0
