ISO3,国家,MMR,MMR年份,原始GDP,GDP年份,logGDP（公式）,政治体制代码,文字类别,政治体制年份,CPR,CPR年份,CPR缺失标记（公式）,log(MMR)（公式）,Regime=1,Regime=2,Regime=3,CPR年份-2018,审计备注,_row
ISL,Iceland,3,2023,69268.1221404224,2023,11.145740081372768,3.0,Liberal democracy,2023.0,,,Missing,1.0986122886681098,0.0,0.0,1.0,,,71
IND,India,80,2023,8870.55027609345,2023,9.090492111270386,1.0,Electoral autocracy,2023.0,66.7,2021.0,Observed,4.382026634673881,1.0,0.0,0.0,3.0,,72
IDN,Indonesia,140,2023,13889.9495012858,2023,9.538920800125208,2.0,Electoral democracy,2023.0,52.6,2023.0,Observed,4.941642422609304,0.0,1.0,0.0,5.0,,73
IRN,"Iran, Islamic Rep.",16,2023,17044.8173442641,2023,9.74360146842565,0.0,Closed autocracy,2023.0,77.4,2010.0,Observed,2.772588722239781,0.0,0.0,0.0,-8.0,,74
IRQ,Iraq,66,2023,13202.3228073856,2023,9.488148063349998,1.0,Electoral autocracy,2023.0,52.78881501,2018.0,Observed,4.189654742026425,1.0,0.0,0.0,0.0,,75
IRL,Ireland,4,2023,117659.728593716,2023,11.67555208171611,3.0,Liberal democracy,2023.0,73.2626619552415,2010.0,Observed,1.3862943611198906,0.0,0.0,1.0,-8.0,,76
ISR,Israel,2,2023,47671.2476926086,2023,10.772083721395443,2.0,Electoral democracy,2023.0,,,Missing,0.6931471805599453,0.0,1.0,0.0,,,77
ITA,Italy,6,2023,52842.6288831758,2023,10.875073509162041,3.0,Liberal democracy,2023.0,65.1,2013.0,Observed,1.791759469228055,0.0,0.0,1.0,-5.0,,78
JAM,Jamaica,130,2023,11398.8120394641,2023,9.3412644218881,2.0,Electoral democracy,2023.0,60.6,2022.0,Observed,4.867534450455582,0.0,1.0,0.0,4.0,,79
JPN,Japan,3,2023,47387.2172542523,2023,10.766107793133138,3.0,Liberal democracy,2023.0,58.3383869011522,2021.0,Observed,1.0986122886681098,0.0,0.0,1.0,3.0,,80
JOR,Jordan,31,2023,10308.7821986337,2023,9.240751451570231,0.0,Closed autocracy,2023.0,60.1,2023.0,Observed,3.4339872044851463,0.0,0.0,0.0,5.0,,81
KAZ,Kazakhstan,10,2023,34703.2349286604,2023,10.454588187199523,1.0,Electoral autocracy,2023.0,52.98,2018.0,Observed,2.302585092994046,1.0,0.0,0.0,0.0,,82
KEN,Kenya,149,2023,5691.82513474417,2023,8.646786237505259,2.0,Electoral democracy,2023.0,62.5,2022.0,Observed,5.003946305945459,0.0,1.0,0.0,4.0,,83
KOR,"Korea, Rep.",4,2023,54029.3434990785,2023,10.897282576090193,3.0,Liberal democracy,2023.0,84.22,2021.0,Observed,1.3862943611198906,0.0,0.0,1.0,3.0,,84
KWT,Kuwait,8,2023,47790.1933239144,2023,10.774575736843671,1.0,Electoral autocracy,2023.0,,,Missing,2.0794415416798357,1.0,0.0,0.0,,,85
KGZ,Kyrgyz Republic,42,2023,6575.77541290499,2023,8.791147783614026,1.0,Electoral autocracy,2023.0,39.3763412,2018.0,Observed,3.7376696182833684,1.0,0.0,0.0,0.0,,86
LAO,Lao PDR,112,2023,8372.15591874407,2023,9.032666707227165,0.0,Closed autocracy,2023.0,56.2757987,2017.0,Observed,4.718498871295094,0.0,0.0,0.0,-1.0,,87
LVA,Latvia,19,2023,37277.7217221317,2023,10.526151154328312,3.0,Liberal democracy,2023.0,,,Missing,2.9444389791664403,0.0,0.0,1.0,,,88
LBN,Lebanon,15,2023,11330.2687387422,2023,9.335233072958955,1.0,Electoral autocracy,2023.0,,,Missing,2.70805020110221,1.0,0.0,0.0,,,89
LSO,Lesotho,478,2023,2592.4570129526,2023,7.860361358655738,2.0,Electoral democracy,2023.0,64.9305733,2018.0,Observed,6.169610732491456,0.0,1.0,0.0,0.0,,90
LBR,Liberia,628,2023,1616.92373356695,2023,7.38828069307638,2.0,Electoral democracy,2023.0,24.9,2020.0,Observed,6.4425401664681985,0.0,1.0,0.0,2.0,,91
LBY,Libya,59,2023,12476.5974944083,2023,9.431609968085285,0.0,Closed autocracy,2023.0,27.7,2014.0,Observed,4.07753744390572,0.0,0.0,0.0,-4.0,,92
LTU,Lithuania,8,2023,46333.9006965206,2023,10.743629168618392,2.0,Electoral democracy,2023.0,,,Missing,2.0794415416798357,0.0,1.0,0.0,,,93
LUX,Luxembourg,11,2023,130048.922273147,2023,11.775665983823213,3.0,Liberal democracy,2023.0,,,Missing,2.3978952727983707,0.0,0.0,1.0,,,94
MDG,Madagascar,445,2023,1629.6055225489,2023,7.3960932538052955,1.0,Electoral autocracy,2023.0,49.7,2021.0,Observed,6.09807428216624,1.0,0.0,0.0,3.0,,95
MWI,Malawi,225,2023,1649.29873234551,2023,7.408105465852289,2.0,Electoral democracy,2023.0,65.6131232873079,2020.0,Observed,5.41610040220442,0.0,1.0,0.0,2.0,,96
MYS,Malaysia,26,2023,32857.6676600774,2023,10.399940410985689,2.0,Electoral democracy,2023.0,42.8,2022.0,Observed,3.258096538021482,0.0,1.0,0.0,4.0,,97
MDV,Maldives,32,2023,22333.0477138175,2023,10.01382282068967,2.0,Electoral democracy,2023.0,18.8,2017.0,Observed,3.4657359027997265,0.0,1.0,0.0,-1.0,,98
MLI,Mali,367,2023,2861.48058063314,2023,7.959094455397032,0.0,Closed autocracy,2023.0,17.2,2018.0,Observed,5.905361848054571,0.0,0.0,0.0,0.0,,99
MLT,Malta,8,2023,60459.7655182644,2023,11.009733390030599,2.0,Electoral democracy,2023.0,,,Missing,2.0794415416798357,0.0,1.0,0.0,,,100
MRT,Mauritania,381,2023,6276.47521075653,2023,8.744563829717528,1.0,Electoral autocracy,2023.0,14.3,2021.0,Observed,5.942799375126701,1.0,0.0,0.0,3.0,,101
MUS,Mauritius,66,2023,26471.0351422892,2023,10.183806400700915,1.0,Electoral autocracy,2023.0,63.8,2014.0,Observed,4.189654742026425,1.0,0.0,0.0,-4.0,,102
MEX,Mexico,42,2023,21864.9236104145,2023,9.992638970148464,2.0,Electoral democracy,2023.0,71.8482508570646,2023.0,Observed,3.7376696182833684,0.0,1.0,0.0,5.0,,103
MDA,Moldova,19,2023,15980.5668889856,2023,9.679128693596278,2.0,Electoral democracy,2023.0,56.0,2020.0,Observed,2.9444389791664403,0.0,1.0,0.0,2.0,,104
MNG,Mongolia,41,2023,16222.8638898529,2023,9.694176877425928,2.0,Electoral democracy,2023.0,48.1348813,2018.0,Observed,3.713572066704308,0.0,1.0,0.0,0.0,,105
MNE,Montenegro,6,2023,27243.404228981,2023,10.212566724150475,2.0,Electoral democracy,2023.0,20.7,2018.0,Observed,1.791759469228055,0.0,1.0,0.0,0.0,,106
MAR,Morocco,70,2023,8915.3515625,2023,9.095529964460814,0.0,Closed autocracy,2023.0,70.8,2018.0,Observed,4.248495242049359,0.0,0.0,0.0,0.0,,107
MOZ,Mozambique,99,2023,1512.66729609671,2023,7.321629792777833,1.0,Electoral autocracy,2023.0,26.4,2023.0,Observed,4.59511985013459,1.0,0.0,0.0,5.0,,108
MMR,Myanmar,185,2023,5364.13797034429,2023,8.58749096561147,0.0,Closed autocracy,2023.0,52.2,2016.0,Observed,5.220355825078324,0.0,0.0,0.0,-2.0,,109
NAM,Namibia,139,2023,10126.2359555611,2023,9.222884954209889,2.0,Electoral democracy,2023.0,56.1,2013.0,Observed,4.9344739331306915,0.0,1.0,0.0,-5.0,,110
NPL,Nepal,142,2023,4861.230303797,2023,8.48904683378718,2.0,Electoral democracy,2023.0,57.2,2022.0,Observed,4.955827057601261,0.0,1.0,0.0,4.0,,111
NLD,Netherlands,4,2023,70198.9546022361,2023,11.159088698196982,3.0,Liberal democracy,2023.0,73.0,2013.0,Observed,1.3862943611198906,0.0,0.0,1.0,-5.0,,112
NZL,New Zealand,7,2023,49592.5875512098,2023,10.81159665701301,3.0,Liberal democracy,2023.0,,,Missing,1.9459101490553132,0.0,0.0,1.0,,,113
NIC,Nicaragua,60,2023,7496.53056557505,2023,8.922195601239398,1.0,Electoral autocracy,2023.0,80.4,2012.0,Observed,4.0943445622221,1.0,0.0,0.0,-6.0,,114
NER,Niger,350,2023,1712.97031726521,2023,7.445984170249419,0.0,Closed autocracy,2023.0,15.2564802562511,2023.0,Observed,5.857933154483459,0.0,0.0,0.0,5.0,,115
NGA,Nigeria,993,2023,7843.00399007675,2023,8.967377201956225,1.0,Electoral autocracy,2023.0,21.6,2021.0,Observed,6.900730664045173,1.0,0.0,0.0,3.0,,116
MKD,North Macedonia,3,2023,23455.2221318176,2023,10.062848441270585,2.0,Electoral democracy,2023.0,59.8676426711758,2019.0,Observed,1.0986122886681098,0.0,1.0,0.0,1.0,,117
NOR,Norway,1,2023,94364.9641754336,2023,11.454925141033886,3.0,Liberal democracy,2023.0,,,Missing,0.0,0.0,0.0,1.0,,,118
OMN,Oman,13,2023,37793.6163957515,2023,10.53989548892684,0.0,Closed autocracy,2023.0,29.7,2014.0,Observed,2.5649493574615367,0.0,0.0,0.0,-4.0,,119
PAK,Pakistan,155,2023,5418.7693189297,2023,8.597624005722903,1.0,Electoral autocracy,2023.0,34.0,2019.0,Observed,5.043425116919247,1.0,0.0,0.0,1.0,,120
PAN,Panama,37,2023,35872.9719200069,2023,10.487739419617439,2.0,Electoral democracy,2023.0,50.8,2015.0,Observed,3.6109179126442243,0.0,1.0,0.0,-3.0,,121
PNG,Papua New Guinea,189,2023,4206.37834691367,2023,8.344357306309664,1.0,Electoral autocracy,2023.0,36.7,2018.0,Observed,5.241747015059643,1.0,0.0,0.0,0.0,,122
PRY,Paraguay,58,2023,15831.5849831308,2023,9.669762273139597,2.0,Electoral democracy,2023.0,68.35988695,2016.0,Observed,4.060443010546419,0.0,1.0,0.0,-2.0,,123
PER,Peru,51,2023,15342.2741359642,2023,9.63836731269256,2.0,Electoral democracy,2023.0,77.3,2023.0,Observed,3.9318256327243257,0.0,1.0,0.0,5.0,,124
PHL,Philippines,84,2023,9898.53294588106,2023,9.20014183785712,1.0,Electoral autocracy,2023.0,58.3,2022.0,Observed,4.430816798843313,1.0,0.0,0.0,4.0,,125
POL,Poland,2,2023,43672.7668014946,2023,10.684480001502509,2.0,Electoral democracy,2023.0,63.2,2014.0,Observed,0.6931471805599453,0.0,1.0,0.0,-4.0,,126
PRT,Portugal,15,2023,41768.2583096874,2023,10.639891959463322,2.0,Electoral democracy,2023.0,73.8869860463731,2014.0,Observed,2.70805020110221,0.0,1.0,0.0,-4.0,,127
QAT,Qatar,4,2023,116159.142564088,2023,11.662716448523872,0.0,Closed autocracy,2023.0,37.52185226,2012.0,Observed,1.3862943611198906,0.0,0.0,0.0,-6.0,,128
ROU,Romania,12,2023,40116.6891416904,2023,10.599547714784507,2.0,Electoral democracy,2023.0,,,Missing,2.4849066497880004,0.0,1.0,0.0,,,129
RUS,Russian Federation,9,2023,39881.44921875,2023,10.593666562902722,1.0,Electoral autocracy,2023.0,68.0,2011.0,Observed,2.1972245773362196,1.0,0.0,0.0,-7.0,,130
RWA,Rwanda,229,2023,3168.03075281515,2023,8.060865460215215,1.0,Electoral autocracy,2023.0,64.1,2020.0,Observed,5.43372200355424,1.0,0.0,0.0,2.0,,131
STP,Sao Tome and Principe,75,2023,5541.3016760535,2023,8.619984711719095,2.0,Electoral democracy,2023.0,49.6820543663491,2019.0,Observed,4.31748811353631,0.0,1.0,0.0,1.0,,132
