模型,项,n,k,残差自由度,β,经典OLS SE,经典OLS t,经典OLS p,经典OLS CI下,经典OLS CI上,HC3 SE,HC3 t,HC3 p,HC3 CI下,HC3 CI上,R²,调整R²
M1,Intercept,166,3,163,15.250020112270942,0.592408105544815,25.742423119356346,2.6046446482273126e-59,14.080236481405905,16.41980374313598,0.5285871637467922,28.850530542917465,6.189430474034015e-66,14.206258884413133,16.29378134012875,0.7311693238986037,0.7278707879955191
M1,政治体制代码,166,3,163,-0.05307168635970888,0.07920164047038734,-0.6700831705569511,0.5037529732828987,-0.20946519565295435,0.10332182293353659,0.07518112726812276,-0.7059176722694818,0.4812470390486243,-0.20152619129486812,0.09538281857545036,0.7311693238986037,0.7278707879955191
M1,logGDP,166,3,163,-1.203359260253577,0.0667300756369925,-18.033236869081,1.1345862919506843e-40,-1.3351261105649026,-1.0715924099422514,0.06114314994949183,-19.681015146384002,6.339479050603944e-45,-1.3240940295468901,-1.0826244909602638,0.7311693238986037,0.7278707879955191
M2,Intercept,166,3,163,1103.0877205486952,79.42578625618133,13.88828203715575,1.9391063791075246e-29,946.2516074681365,1259.9238336292537,98.59443328065741,11.188133891988228,6.371903403246784e-22,908.4007251031152,1297.774715994275,0.5203797240194991,0.5144948126577751
M2,政治体制代码,166,3,163,-3.487377809125954,10.618782066384174,-0.32841598851208453,0.7430186723191442,-24.4554863220162,17.480730703764294,9.24548784563911,-0.37719781447453554,0.706517243419692,-21.743745741910978,14.768990123659071,0.5203797240194991,0.5144948126577751
M2,logGDP,166,3,163,-102.33625467082274,8.946685021347388,-11.438455073207741,1.2885675732289587e-22,-120.00259918994897,-84.66991015169651,10.158210361725708,-10.074240543039664,7.344032129244654e-19,-122.39490695597688,-82.2776023856686,0.5203797240194991,0.5144948126577751
M3,Intercept,138,3,135,-39.68471042393128,12.579756681246963,-3.1546484903869816,0.001981281589334829,-64.56359806177537,-14.805822786087187,12.833747502288652,-3.0922153031960673,0.0024143392442712817,-65.065913747035,-14.30350710082756,0.37260227374844956,0.3633074926187969
M3,政治体制代码,138,3,135,4.827299112462796,1.6771452357033931,2.8782832933596425,0.004650213534750294,1.5104219320311763,8.144176292894416,1.9817132798376862,2.435922068836406,0.016157782167593133,0.9080800632579309,8.746518161667662,0.37260227374844956,0.3633074926187969
M3,logGDP,138,3,135,8.820276715945363,1.4417519504060399,6.117749113126785,9.62950337463769e-09,5.968935017956423,11.671618413934304,1.584436436628062,5.5668226960977645,1.3477842958674034e-07,5.6867490114756265,11.9538044204151,0.37260227374844956,0.3633074926187969
M4,Intercept,138,4,134,-38.76032599647082,13.201520793833279,-2.9360500658815476,0.003913538101254405,-64.87063386821168,-12.65001812472995,13.51527026127178,-2.8678912997795645,0.004801623252587674,-65.49117564649231,-12.029476346449322,0.37287036060873535,0.35883014480146824
M4,政治体制代码,138,4,134,4.80046542253851,1.6867621334077647,2.845964660612894,0.005124351403905,1.4643438273474385,8.136587017729582,2.0299200761029037,2.364854399467084,0.01947173150128429,0.785637209198665,8.815293635878355,0.37287036060873535,0.35883014480146824
M4,logGDP,138,4,134,8.72259033432783,1.5032812999721294,5.802367351000472,4.489985580014828e-08,5.749361857617918,11.695818811037741,1.6313493567805684,5.346856145848285,3.7505100973720583e-07,5.496065556076209,11.94911511257945,0.37287036060873535,0.35883014480146824
M4,CPR年份-2018,138,4,134,-0.10157059787539646,0.42438156387089104,-0.23933791314812425,0.8112092587315651,-0.940923386149296,0.7377821903985031,0.46854983797023847,-0.21677650837614432,0.8287122086295539,-1.0282805363524838,0.8251393406016908,0.37287036060873535,0.35883014480146824
M5,Intercept,109,3,106,-44.28433147638594,14.497329502593573,-3.0546544084869884,0.0028500627362948636,-73.02669725033977,-15.541965702432108,15.186082373527546,-2.9161129504725065,0.004326153301651531,-74.39221680624857,-14.176446146523311,0.3420399823357394,0.32962564237980996
M5,政治体制代码,109,3,106,3.2652645927866053,2.0152672222402237,1.6202638323848944,0.10814688667258622,-0.7301986836413659,7.260727869214577,2.3616113431597476,1.382642661437171,0.16968048247455264,-1.4168595893858718,7.947388774959082,0.3420399823357394,0.32962564237980996
M5,logGDP,109,3,106,9.548833951876805,1.6977765594481213,5.624317227574838,1.527214833173554e-07,6.182826794119041,12.914841109634569,1.8923659963661075,5.0459762911684845,1.8799384834791146e-06,5.797034309327694,13.300633594425916,0.3420399823357394,0.32962564237980996
M6,Intercept,166,5,161,15.056338218351804,0.6660149288462934,22.606607699369736,7.937573630984716e-52,13.74108654764319,16.37158988906042,0.6221785001468929,24.199386855696694,1.6416578103839075e-55,13.827655081751967,16.285021354951642,0.7322444819726752,0.7255921709657851
M6,regime_1,166,5,161,0.10256133932205609,0.20953179157933333,0.4894786540457949,0.6251690928932886,-0.3112237381666332,0.5163464168107453,0.2135355712501114,0.4803009574546591,0.6316653519576032,-0.3191304346580498,0.524253113302162,0.7322444819726752,0.7255921709657851
M6,regime_2,166,5,161,-0.04554515388920914,0.20917577924713324,-0.2177362697207848,0.8279103139392844,-0.45862717534350866,0.36753686756509035,0.20352328226299662,-0.2237835071387795,0.8232094756905508,-0.4474645785606716,0.3563742707822533,0.7322444819726752,0.7255921709657851
M6,regime_3,166,5,161,-0.11901416233583473,0.2572468426227731,-0.46264576514300376,0.644242970378611,-0.6270273087231334,0.38899898405146394,0.24085434434885092,-0.49413334294462985,0.6218855143669887,-0.5946552704878764,0.3566269458162069,0.7322444819726752,0.7255921709657851
M6,logGDP,166,5,161,-1.1910592609931698,0.07057891447517314,-16.87556786399906,1.9434080210809888e-37,-1.3304390724053183,-1.0516794495810213,0.06698449995010501,-17.781117450758885,7.985742912927839e-40,-1.323340793516128,-1.0587777284702116,0.7322444819726752,0.7255921709657851
M7,Intercept,138,5,133,-40.91246992030065,14.435648172901276,-2.834127669937391,0.005312237804165626,-69.46562282919712,-12.359317011404187,14.728841539528528,-2.777711323086871,0.006266026007363051,-70.04554795129155,-11.779391889309753,0.3757463366090794,0.35697179034168336
M7,regime_1,138,5,133,3.3902429006703425,4.194920773895519,0.8081780523168426,0.420431278638986,-4.907147896273139,11.687633697613824,4.942513645416466,0.6859349602027601,0.4939481018220543,-6.385857637496242,13.166343438836927,0.3757463366090794,0.35697179034168336
M7,regime_2,138,5,133,10.613061055151508,4.254607365632218,2.494486598430088,0.013839065590843722,2.1976124917636994,19.028509618539317,5.124688630907388,2.070967002979133,0.04029533532894894,0.4766254523867932,20.749496657916225,0.3757463366090794,0.35697179034168336
M7,regime_3,138,5,133,12.477392028720871,5.6393267458602,2.2125676682736035,0.0286332952056958,1.3230221695243163,23.631761887917428,6.382512244404967,1.9549342877734066,0.05268812120317959,-0.1469699586752391,25.10175401611698,0.3757463366090794,0.35697179034168336
M7,logGDP,138,5,133,9.004782449908578,1.5595805116137256,5.773849046492105,5.2063252960802127e-08,5.919992609613388,12.089572290203769,1.6966467760099604,5.307399617429689,4.527922108746756e-07,5.648880848015893,12.360684051801265,0.3757463366090794,0.35697179034168336
