row,iso,country,MMR,MMRyear,GDP,GDPyear,CPR,CPRyear,indicator,live_year,live_value,live_country,status,diff
139,SVK,Slovak Republic,4,2023,39501.9474231962,2023,,,CPR,,,,MISSING_IN_LIVE,
140,SVN,Slovenia,3,2023,47986.4195855821,2023,,,CPR,,,,MISSING_IN_LIVE,
141,SLB,Solomon Islands,123,2023,2339.87469992347,2023,29.3,2015.0,CPR,2015.0,29.3,Solomon Islands,MATCH,0.0
142,SOM,"Somalia, Fed. Rep.",563,2023,1401.64735228455,2023,6.9,2019.0,CPR,2019.0,6.9,"Somalia, Fed. Rep.",MATCH,0.0
143,ZAF,South Africa,118,2023,13695.3755694076,2023,54.6,2016.0,CPR,2016.0,54.6,South Africa,MATCH,0.0
144,ESP,Spain,3,2023,47322.5937004504,2023,62.0757,2018.0,CPR,2018.0,62.0757,Spain,MATCH,0.0
145,LKA,Sri Lanka,18,2023,13065.0698305722,2023,64.6,2016.0,CPR,2016.0,64.6,Sri Lanka,MATCH,0.0
146,SDN,Sudan,256,2023,2181.0791015625,2023,12.77805417,2014.0,CPR,2014.0,12.77805417,Sudan,MATCH,0.0
147,SUR,Suriname,84,2023,19020.8663751009,2023,39.12159292,2018.0,CPR,2018.0,39.12159292,Suriname,MATCH,0.0
148,SWE,Sweden,4,2023,62122.5116950792,2023,,,CPR,,,,MISSING_IN_LIVE,
149,CHE,Switzerland,5,2023,85383.3564504008,2023,71.6,2017.0,CPR,2017.0,71.6,Switzerland,MATCH,0.0
150,SYR,Syrian Arab Republic,20,2023,4579.43973633341,2022,,,CPR,,,,MISSING_IN_LIVE,
151,TJK,Tajikistan,14,2023,4472.3241378777,2023,29.3,2017.0,CPR,2017.0,29.3,Tajikistan,MATCH,0.0
152,TZA,Tanzania,276,2023,3620.79345703125,2023,37.6,2022.0,CPR,2022.0,37.6,Tanzania,MATCH,0.0
153,THA,Thailand,34,2023,21245.2706771879,2023,72.8,2022.0,CPR,2022.0,72.8,Thailand,MATCH,0.0
154,TLS,Timor-Leste,192,2023,4331.07792560386,2023,26.0,2016.0,CPR,2016.0,26.0,Timor-Leste,MATCH,0.0
155,TGO,Togo,349,2023,3215.82300022488,2023,23.8,2017.0,CPR,2017.0,23.8,Togo,MATCH,0.0
156,TTO,Trinidad and Tobago,54,2023,31196.603554718,2023,36.5,2022.0,CPR,2022.0,36.5,Trinidad and Tobago,MATCH,0.0
157,TUN,Tunisia,36,2023,12650.9615158166,2023,54.0,2023.0,CPR,2023.0,54.0,Tunisia,MATCH,0.0
158,TUR,Turkiye,15,2023,35069.1701714685,2023,69.8,2018.0,CPR,2018.0,69.8,Turkiye,MATCH,0.0
159,TKM,Turkmenistan,5,2023,17685.8585929282,2023,49.6763641281299,2019.0,CPR,2019.0,49.6763641281299,Turkmenistan,MATCH,0.0
160,UGA,Uganda,170,2023,2791.05576885861,2023,43.0,2022.0,CPR,2022.0,43.0,Uganda,MATCH,0.0
161,UKR,Ukraine,15,2023,15916.9580078125,2023,65.4588684,2012.0,CPR,2012.0,65.4588684,Ukraine,MATCH,0.0
162,ARE,United Arab Emirates,3,2023,70239.8328337228,2023,,,CPR,,,,MISSING_IN_LIVE,
163,GBR,United Kingdom,8,2023,53423.4226338292,2023,76.1,2012.0,CPR,2012.0,76.1,United Kingdom,MATCH,0.0
164,USA,United States,17,2023,74351.6718197429,2023,73.9,2019.0,CPR,2019.0,73.9,United States,MATCH,0.0
165,URY,Uruguay,15,2023,31100.9696889882,2023,,,CPR,,,,MISSING_IN_LIVE,
166,UZB,Uzbekistan,26,2023,10514.0955721447,2023,58.8,2022.0,CPR,2022.0,58.8,Uzbekistan,MATCH,0.0
167,VUT,Vanuatu,100,2023,3782.82649029418,2023,49.0,2013.0,CPR,2013.0,49.0,Vanuatu,MATCH,0.0
168,VNM,Viet Nam,48,2023,13534.7997843016,2023,72.8,2021.0,CPR,2021.0,72.8,Viet Nam,MATCH,0.0
169,PSE,West Bank and Gaza,16,2023,5562.42442563953,2023,57.3,2020.0,CPR,2020.0,57.3,West Bank and Gaza,MATCH,0.0
170,ZMB,Zambia,85,2023,3673.4841969922,2023,49.6,2018.0,CPR,2018.0,49.6,Zambia,MATCH,0.0
171,ZWE,Zimbabwe,358,2023,5218.04526596398,2023,66.8,2015.0,CPR,2015.0,66.8,Zimbabwe,MATCH,0.0
